,score_train,score,time_train,time_test,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.5933444,0.52489793,0.07194185,0.004021025,144.0,2,session_E,3,2,001-2014,Cov+EN
1,0.63923585,0.59605443,0.05999565,0.00397563,144.0,2,session_T,3,2,001-2014,Cov+EN
2,0.56229633,0.4807483,0.015089226,0.0024826527,144.0,2,session_E,3,2,001-2014,CSP+LDA
3,0.64307004,0.54557824,0.014987087,0.0024534226,144.0,2,session_T,3,2,001-2014,CSP+LDA
4,0.8138411,0.6742857,0.27285552,0.020913934,144.0,2,session_E,3,2,001-2014,AUG+TGSP+SVM
5,0.871885,0.7188435,0.2305285,0.014970064,144.0,2,session_T,3,2,001-2014,AUG+TGSP+SVM
6,0.8503233,0.64761907,0.62337625,0.049282264,144.0,2,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,0.80475414,0.6839456,0.6180364,0.05479498,144.0,2,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,0.5900828,0.5964626,0.06804824,0.009190559,144.0,2,session_E,3,2,001-2014,AUG+CSP+LDA
9,0.77991116,0.6814966,0.3115732,0.03898692,144.0,2,session_T,3,2,001-2014,AUG+CSP+LDA
10,0.558774,0.5497959,0.07892623,0.004594994,144.0,2,session_E,3,2,001-2014,MDM
11,0.6341834,0.5430612,0.07201934,0.0047064302,144.0,2,session_T,3,2,001-2014,MDM
12,0.6177055,0.53183675,0.1089922,0.008136511,144.0,2,session_E,3,2,001-2014,FgMDM
13,0.6522613,0.5641497,0.096385956,0.008057403,144.0,2,session_T,3,2,001-2014,FgMDM
14,0.5591954,0.56081635,0.014054346,0.0022789477,144.0,2,session_E,3,2,001-2014,Vectorize+LDA
15,0.619559,0.5594558,0.024928188,0.0039570807,144.0,2,session_T,3,2,001-2014,Vectorize+LDA
