,score_train,score,time_train,time_test,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.9572647,0.9489796,0.069308,0.0038020134,144.0,9,session_E,3,2,001-2014,Cov+EN
1,0.84824353,0.8287755,0.07080345,0.0038891316,144.0,9,session_T,3,2,001-2014,Cov+EN
2,0.9531677,0.9452381,0.014473295,0.002358532,144.0,9,session_E,3,2,001-2014,CSP+LDA
3,0.8436615,0.8414966,0.014633274,0.0023966313,144.0,9,session_T,3,2,001-2014,CSP+LDA
4,1.0,0.97795916,0.56372154,0.033740662,144.0,9,session_E,3,2,001-2014,AUG+TGSP+SVM
5,1.0,0.91414964,0.60713845,0.037535477,144.0,9,session_T,3,2,001-2014,AUG+TGSP+SVM
6,0.98385274,0.9617687,0.07312026,0.008357048,144.0,9,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,0.92588294,0.86945575,0.4396059,0.03239708,144.0,9,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,0.9626416,0.96659863,0.20839262,0.030027533,144.0,9,session_E,3,2,001-2014,AUG+CSP+LDA
9,0.8984782,0.86693877,0.17541333,0.022810508,144.0,9,session_T,3,2,001-2014,AUG+CSP+LDA
10,0.93752944,0.93482995,0.07883849,0.0046584606,144.0,9,session_E,3,2,001-2014,MDM
11,0.77270585,0.7615646,0.077007964,0.004558563,144.0,9,session_T,3,2,001-2014,MDM
12,0.9584736,0.95088434,0.10586691,0.0077890395,144.0,9,session_E,3,2,001-2014,FgMDM
13,0.8489559,0.8289796,0.10757451,0.007866859,144.0,9,session_T,3,2,001-2014,FgMDM
14,0.95239794,0.9415646,0.014256191,0.0022871494,144.0,9,session_E,3,2,001-2014,Vectorize+LDA
15,0.84055114,0.8371429,0.026522875,0.004331827,144.0,9,session_T,3,2,001-2014,Vectorize+LDA
