,score_train,score,time_train,time_test,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.755357,0.742449,0.08556409,0.006112051,144.0,4,session_E,3,2,001-2014,Cov+EN
1,0.7782381,0.7478231,0.086524054,0.0058743,144.0,4,session_T,3,2,001-2014,Cov+EN
2,0.7437418,0.7209524,0.026152944,0.0042256834,144.0,4,session_E,3,2,001-2014,CSP+LDA
3,0.76847947,0.7347619,0.025888633,0.004105234,144.0,4,session_T,3,2,001-2014,CSP+LDA
4,0.9983134,0.7961905,0.27454004,0.015296889,144.0,4,session_E,3,2,001-2014,AUG+TGSP+SVM
5,0.94064605,0.8414966,0.37857985,0.021308374,144.0,4,session_T,3,2,001-2014,AUG+TGSP+SVM
6,0.9696226,0.74360543,0.8998356,0.023471642,144.0,4,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,0.9907128,0.7846258,0.18270287,0.0142750265,144.0,4,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,0.75497943,0.74510205,0.04230833,0.006350708,144.0,4,session_E,3,2,001-2014,AUG+CSP+LDA
9,0.74043953,0.7560544,0.09944101,0.014177943,144.0,4,session_T,3,2,001-2014,AUG+CSP+LDA
10,0.72751737,0.7208844,0.08397307,0.00636549,144.0,4,session_E,3,2,001-2014,MDM
11,0.75509626,0.7312245,0.08905377,0.006645441,144.0,4,session_T,3,2,001-2014,MDM
12,0.76913655,0.74707484,0.13004847,0.010974407,144.0,4,session_E,3,2,001-2014,FgMDM
13,0.7799372,0.74482995,0.1315773,0.010956669,144.0,4,session_T,3,2,001-2014,FgMDM
14,0.7201483,0.6879592,0.02602911,0.004015875,144.0,4,session_E,3,2,001-2014,Vectorize+LDA
15,0.7415389,0.67925173,0.03219075,0.0048511983,144.0,4,session_T,3,2,001-2014,Vectorize+LDA
