,Unnamed: 0,score_train,score,time_train,time_test,samples,subject,session,channels,n_sessions,dataset,pipeline
4,4,0.9962597,0.9940816,0.066726014,0.008662224,144.0,8,session_E,22,2,001-2014,CSP+LDA
5,5,1.0,1.0,0.062354375,0.008407975,144.0,8,session_T,22,2,001-2014,CSP+LDA
6,6,1.0,1.0,0.80394584,0.031633712,144.0,8,session_E,22,2,001-2014,ACM+TGSP+SVM
7,7,1.0,1.0,2.1998324,0.08678565,144.0,8,session_T,22,2,001-2014,ACM+TGSP+SVM
8,8,1.0,0.9959864,0.52997375,0.032004595,144.0,8,session_E,22,2,001-2014,FgMDM
9,9,1.0,0.99904764,0.52754706,0.032013558,144.0,8,session_T,22,2,001-2014,FgMDM
2,2,0.9883785,0.97510207,0.4064304,0.01515975,144.0,9,session_E,22,2,001-2014,Cov+EN
3,3,0.9991531,0.89238095,0.39019758,0.015748262,144.0,9,session_T,22,2,001-2014,Cov+EN
4,4,0.9739658,0.9731973,0.06449552,0.008589601,144.0,9,session_E,22,2,001-2014,CSP+LDA
5,5,0.92084193,0.8465306,0.06616702,0.0090907095,144.0,9,session_T,22,2,001-2014,CSP+LDA
6,6,1.0,0.97979593,1.3535187,0.05581703,144.0,9,session_E,22,2,001-2014,ACM+TGSP+SVM
7,7,1.0,0.957415,21.331556,0.31485996,144.0,9,session_T,22,2,001-2014,ACM+TGSP+SVM
8,8,0.99615747,0.96435374,0.51533246,0.03142786,144.0,9,session_E,22,2,001-2014,FgMDM
9,9,0.99776375,0.9015646,0.51384395,0.031188201,144.0,9,session_T,22,2,001-2014,FgMDM
0,0,0.8794292,0.8482993,0.0648911,0.0038880347,144.0,1,session_E,3,2,001-2014,Cov+EN(3 elect)
1,1,0.87448424,0.8657823,0.061826468,0.003879881,144.0,1,session_T,3,2,001-2014,Cov+EN(3 elect)
2,2,0.87876064,0.85408163,0.013837623,0.0022464753,144.0,1,session_E,3,2,001-2014,CSP+LDA(3 elect)
3,3,0.8735225,0.8564626,0.01439104,0.0023266315,144.0,1,session_T,3,2,001-2014,CSP+LDA(3 elect)
4,4,0.99891835,0.9128571,0.5566498,0.03281512,144.0,1,session_E,3,2,001-2014,ACM+TGSP+SVM(3 elect)
5,5,0.97084296,0.9317007,0.26304293,0.015765715,144.0,1,session_T,3,2,001-2014,ACM+TGSP+SVM(3 elect)
12,12,0.8777312,0.8527891,0.102139756,0.007882166,144.0,1,session_E,3,2,001-2014,FgMDM(3 elect)
13,13,0.8772618,0.8531973,0.096247196,0.007859373,144.0,1,session_T,3,2,001-2014,FgMDM(3 elect)
0,0,0.5933444,0.52489793,0.07194185,0.004021025,144.0,2,session_E,3,2,001-2014,Cov+EN(3 elect)
1,1,0.63923585,0.59605443,0.05999565,0.00397563,144.0,2,session_T,3,2,001-2014,Cov+EN(3 elect)
2,2,0.56229633,0.4807483,0.015089226,0.0024826527,144.0,2,session_E,3,2,001-2014,CSP+LDA(3 elect)
3,3,0.64307004,0.54557824,0.014987087,0.0024534226,144.0,2,session_T,3,2,001-2014,CSP+LDA(3 elect)
