,Unnamed: 0,score_train,score,time_train,time_test,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0,0.755357,0.742449,0.08556409,0.006112051,144.0,4,session_E,3,2,001-2014,Cov+EN
1,1,0.7782381,0.7478231,0.086524054,0.0058743,144.0,4,session_T,3,2,001-2014,Cov+EN
2,2,0.7437418,0.7209524,0.026152944,0.0042256834,144.0,4,session_E,3,2,001-2014,CSP+LDA
3,3,0.76847947,0.7347619,0.025888633,0.004105234,144.0,4,session_T,3,2,001-2014,CSP+LDA
4,4,0.9983134,0.7961905,0.27454004,0.015296889,144.0,4,session_E,3,2,001-2014,AUG+TGSP+SVM
5,5,0.94064605,0.8414966,0.37857985,0.021308374,144.0,4,session_T,3,2,001-2014,AUG+TGSP+SVM
6,6,0.9696226,0.74360543,0.8998356,0.023471642,144.0,4,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,7,0.9907128,0.7846258,0.18270287,0.0142750265,144.0,4,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,8,0.75497943,0.74510205,0.04230833,0.006350708,144.0,4,session_E,3,2,001-2014,AUG+CSP+LDA
9,9,0.74043953,0.7560544,0.09944101,0.014177943,144.0,4,session_T,3,2,001-2014,AUG+CSP+LDA
10,10,0.72751737,0.7208844,0.08397307,0.00636549,144.0,4,session_E,3,2,001-2014,MDM
11,11,0.75509626,0.7312245,0.08905377,0.006645441,144.0,4,session_T,3,2,001-2014,MDM
12,12,0.76913655,0.74707484,0.13004847,0.010974407,144.0,4,session_E,3,2,001-2014,FgMDM
13,13,0.7799372,0.74482995,0.1315773,0.010956669,144.0,4,session_T,3,2,001-2014,FgMDM
14,14,0.7201483,0.6879592,0.02602911,0.004015875,144.0,4,session_E,3,2,001-2014,Vectorize+LDA
15,15,0.7415389,0.67925173,0.03219075,0.0048511983,144.0,4,session_T,3,2,001-2014,Vectorize+LDA
0,0,0.65528923,0.62680274,0.087267876,0.006133604,144.0,5,session_E,3,2,001-2014,Cov+EN
1,1,0.6378465,0.5907483,0.086512566,0.006027126,144.0,5,session_T,3,2,001-2014,Cov+EN
2,2,0.6541304,0.6182993,0.026391124,0.004213619,144.0,5,session_E,3,2,001-2014,CSP+LDA
3,3,0.6285051,0.61190474,0.025960779,0.0040744306,144.0,5,session_T,3,2,001-2014,CSP+LDA
4,4,0.9383044,0.8123129,0.4177367,0.024446249,144.0,5,session_E,3,2,001-2014,AUG+TGSP+SVM
5,5,0.9993992,0.88462585,0.45208988,0.025217008,144.0,5,session_T,3,2,001-2014,AUG+TGSP+SVM
6,6,0.95024407,0.6652381,0.5036142,0.019992208,144.0,5,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,7,0.97944176,0.7712245,1.2205181,0.025654268,144.0,5,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,8,0.75682455,0.7558503,0.16550383,0.022282695,144.0,5,session_E,3,2,001-2014,AUG+CSP+LDA
9,9,0.91532844,0.8707483,0.12187581,0.015823413,144.0,5,session_T,3,2,001-2014,AUG+CSP+LDA
10,10,0.645129,0.59911567,0.09087591,0.0065574646,144.0,5,session_E,3,2,001-2014,MDM
11,11,0.6048491,0.57510203,0.08821845,0.006506252,144.0,5,session_T,3,2,001-2014,MDM
12,12,0.6605774,0.6180952,0.13388744,0.011081124,144.0,5,session_E,3,2,001-2014,FgMDM
13,13,0.6436031,0.5910884,0.13132258,0.010995197,144.0,5,session_T,3,2,001-2014,FgMDM
14,14,0.58535266,0.5735374,0.02989006,0.004550743,144.0,5,session_E,3,2,001-2014,Vectorize+LDA
15,15,0.6235413,0.5252381,0.0368989,0.0050947666,144.0,5,session_T,3,2,001-2014,Vectorize+LDA
0,0,0.70063835,0.6321769,0.13232689,0.0070680617,144.0,6,session_E,3,2,001-2014,Cov+EN
1,1,0.74954003,0.7235374,0.13239531,0.00732193,144.0,6,session_T,3,2,001-2014,Cov+EN
2,2,0.6971786,0.63040817,0.026703406,0.004110527,144.0,6,session_E,3,2,001-2014,CSP+LDA
3,3,0.7433715,0.68544215,0.026456928,0.0040822504,144.0,6,session_T,3,2,001-2014,CSP+LDA
4,4,0.9508616,0.71795917,0.3044682,0.016303778,144.0,6,session_E,3,2,001-2014,AUG+TGSP+SVM
5,5,0.90987754,0.78136057,0.31781572,0.01664133,144.0,6,session_T,3,2,001-2014,AUG+TGSP+SVM
6,6,0.9135125,0.64857143,0.16524725,0.013228369,144.0,6,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,7,0.9799466,0.8065306,0.6504359,0.018604422,144.0,6,session_T,3,2,001-2014,AUG+Vectorize+LDA
