,score_train,score,time_train,time_test,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.70063835,0.6321769,0.13232689,0.0070680617,144.0,6,session_E,3,2,001-2014,Cov+EN
1,0.74954003,0.7235374,0.13239531,0.00732193,144.0,6,session_T,3,2,001-2014,Cov+EN
2,0.6971786,0.63040817,0.026703406,0.004110527,144.0,6,session_E,3,2,001-2014,CSP+LDA
3,0.7433715,0.68544215,0.026456928,0.0040822504,144.0,6,session_T,3,2,001-2014,CSP+LDA
4,0.9508616,0.71795917,0.3044682,0.016303778,144.0,6,session_E,3,2,001-2014,AUG+TGSP+SVM
5,0.90987754,0.78136057,0.31781572,0.01664133,144.0,6,session_T,3,2,001-2014,AUG+TGSP+SVM
6,0.9135125,0.64857143,0.16524725,0.013228369,144.0,6,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,0.9799466,0.8065306,0.6504359,0.018604422,144.0,6,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,0.760979,0.6642857,0.07834377,0.010293866,144.0,6,session_E,3,2,001-2014,AUG+CSP+LDA
9,0.77028704,0.7406803,0.1670804,0.020800162,144.0,6,session_T,3,2,001-2014,AUG+CSP+LDA
10,0.6871842,0.5857143,0.13159585,0.008544445,144.0,6,session_E,3,2,001-2014,MDM
11,0.71262383,0.70292515,0.13254905,0.008808565,144.0,6,session_T,3,2,001-2014,MDM
12,0.7003296,0.63462585,0.21250764,0.015962934,144.0,6,session_E,3,2,001-2014,FgMDM
13,0.743457,0.71789116,0.21537447,0.016279697,144.0,6,session_T,3,2,001-2014,FgMDM
14,0.6622932,0.58646256,0.025421286,0.0039307117,144.0,6,session_E,3,2,001-2014,Vectorize+LDA
15,0.7472276,0.7112925,0.028995514,0.004539585,144.0,6,session_T,3,2,001-2014,Vectorize+LDA
