,score_train,score,time_train,time_test,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.74478275,0.7191157,0.12079282,0.007276344,144.0,7,session_E,3,2,001-2014,Cov+EN
1,0.78700376,0.7560544,0.11991672,0.0071819304,144.0,7,session_T,3,2,001-2014,Cov+EN
2,0.7449747,0.6797959,0.02840519,0.0043658735,144.0,7,session_E,3,2,001-2014,CSP+LDA
3,0.7665676,0.7507483,0.026987696,0.0041772844,144.0,7,session_T,3,2,001-2014,CSP+LDA
4,0.9499823,0.85387754,0.20170775,0.010936404,144.0,7,session_E,3,2,001-2014,AUG+TGSP+SVM
5,1.0,0.82462585,0.74566066,0.03373017,144.0,7,session_T,3,2,001-2014,AUG+TGSP+SVM
6,0.9787565,0.79734695,0.3285436,0.015564394,144.0,7,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,0.84725475,0.7914966,0.06261806,0.007850265,144.0,7,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,0.82593715,0.7906803,0.034452774,0.0050621987,144.0,7,session_E,3,2,001-2014,AUG+CSP+LDA
9,0.79650897,0.76408166,0.09297447,0.012090397,144.0,7,session_T,3,2,001-2014,AUG+CSP+LDA
10,0.7318001,0.6614966,0.117754176,0.008359957,144.0,7,session_E,3,2,001-2014,MDM
11,0.74183613,0.7089796,0.119267605,0.008568764,144.0,7,session_T,3,2,001-2014,MDM
12,0.74842083,0.66176873,0.20248394,0.01636982,144.0,7,session_E,3,2,001-2014,FgMDM
13,0.78795505,0.75510204,0.19813447,0.016116714,144.0,7,session_T,3,2,001-2014,FgMDM
14,0.7179517,0.6339456,0.025744343,0.0039868355,144.0,7,session_E,3,2,001-2014,Vectorize+LDA
15,0.72159916,0.69061226,0.025599003,0.0039688586,144.0,7,session_T,3,2,001-2014,Vectorize+LDA
