,score_train,score,time_train,time_test,samples,subject,session,channels,n_sessions,dataset,pipeline
0,0.9788629,0.97333336,0.06826711,0.0041789054,144.0,3,session_E,3,2,001-2014,Cov+EN
1,0.9813787,0.98156464,0.07075815,0.0044779303,144.0,3,session_T,3,2,001-2014,Cov+EN
2,0.9765077,0.97333336,0.015226746,0.002502346,144.0,3,session_E,3,2,001-2014,CSP+LDA
3,0.9775862,0.97789115,0.016772509,0.0027358532,144.0,3,session_T,3,2,001-2014,CSP+LDA
4,1.0,1.0,0.5296315,0.030687522,144.0,3,session_E,3,2,001-2014,AUG+TGSP+SVM
5,1.0,0.9883673,0.460805,0.028624153,144.0,3,session_T,3,2,001-2014,AUG+TGSP+SVM
6,1.0,0.9771429,0.16327429,0.010725546,144.0,3,session_E,3,2,001-2014,AUG+Vectorize+LDA
7,0.9975885,0.99333334,0.15020505,0.011766386,144.0,3,session_T,3,2,001-2014,AUG+Vectorize+LDA
8,0.9929001,0.992381,0.16432409,0.019897366,144.0,3,session_E,3,2,001-2014,AUG+CSP+LDA
9,0.9880677,0.98938775,0.112831734,0.015175676,144.0,3,session_T,3,2,001-2014,AUG+CSP+LDA
10,0.9763314,0.97238094,0.07475805,0.0047572134,144.0,3,session_E,3,2,001-2014,MDM
11,0.9743236,0.9691837,0.07662721,0.0051319124,144.0,3,session_T,3,2,001-2014,MDM
12,0.9795836,0.9714286,0.10696211,0.008478689,144.0,3,session_E,3,2,001-2014,FgMDM
13,0.9769197,0.9693197,0.10979362,0.008943987,144.0,3,session_T,3,2,001-2014,FgMDM
14,0.9477001,0.9404082,0.017597198,0.002799177,144.0,3,session_E,3,2,001-2014,Vectorize+LDA
15,0.94962764,0.9363946,0.023897171,0.0038645745,144.0,3,session_T,3,2,001-2014,Vectorize+LDA
